Species,Class,Sex,Parameter,Mean,SD,Lower,Upper
Genetta tigrina,Mammalia,Male,b0,-8.671734709,2.420594354,-14.1420969,-4.874482596
Genetta tigrina,Mammalia,Male,b1,0.341055066,0.126983926,0.122268139,0.624618859
Cryptoprocta ferox,Mammalia,Female,a0,-0.712137653,0.495143983,-1.765837234,0.201375272
Cryptoprocta ferox,Mammalia,Female,a1,8.707802558,3.119958442,3.263261689,15.24607551
Cryptoprocta ferox,Mammalia,Female,c,0.024126589,0.005480159,0.013691213,0.035306354
Cryptoprocta ferox,Mammalia,Female,b0,-12.21846969,2.717766145,-17.87669541,-7.127525023
Cryptoprocta ferox,Mammalia,Female,b1,0.504841978,0.130320562,0.255218346,0.768807446
Cryptoprocta ferox,Mammalia,Male,a0,-0.84207286,0.465111371,-1.812665329,0.006643157
Cryptoprocta ferox,Mammalia,Male,a1,7.723688103,2.759069755,2.840195331,13.59930845
Cryptoprocta ferox,Mammalia,Male,c,0.016353487,0.005212413,0.006270258,0.026955527
Cryptoprocta ferox,Mammalia,Male,b0,-7.320246637,0.930904655,-9.281753754,-5.634607071
Cryptoprocta ferox,Mammalia,Male,b1,0.300280705,0.049956748,0.207747678,0.401886836
Crossarchus obscurus,Mammalia,Female,a0,-2.113662716,0.695841795,-3.590339123,-0.904849831
Crossarchus obscurus,Mammalia,Female,a1,3.569494031,2.467405061,0.308472111,9.624914961
Crossarchus obscurus,Mammalia,Female,c,0.113121138,0.022549792,0.061522453,0.15216598
Crossarchus obscurus,Mammalia,Female,b0,-8.680496926,2.197975813,-13.45061653,-4.814883605
Crossarchus obscurus,Mammalia,Female,b1,0.682477803,0.192711597,0.328806582,1.089981579
Crossarchus obscurus,Mammalia,Male,a0,-2.617794212,0.782766838,-4.262053765,-1.177201988
Crossarchus obscurus,Mammalia,Male,a1,5.164717931,3.246556621,0.250577702,12.57350552
Crossarchus obscurus,Mammalia,Male,c,0.099455806,0.029807992,0.025822167,0.149186958
Crossarchus obscurus,Mammalia,Male,b0,-6.924804832,2.705385668,-13.24932293,-2.940399087
Crossarchus obscurus,Mammalia,Male,b1,0.487639213,0.230173845,0.130792944,1.015322773
Cynictis penicillata,Mammalia,Female,a0,-1.321494091,0.398126528,-2.094638465,-0.5386933
Cynictis penicillata,Mammalia,Female,a1,6.3399319,3.740966391,1.773658811,15.55605538
Cynictis penicillata,Mammalia,Female,c,0.052975378,0.007598517,0.036784958,0.067066723
Cynictis penicillata,Mammalia,Female,b0,-7.198700076,0.906486763,-9.066154148,-5.59350797
Cynictis penicillata,Mammalia,Female,b1,0.420785023,0.064551393,0.302380971,0.54912473
Cynictis penicillata,Mammalia,Male,a0,-0.506005845,0.351249349,-1.233259881,0.133833341
Cynictis penicillata,Mammalia,Male,a1,10.08106998,3.735805976,3.339369004,17.52043388
Cynictis penicillata,Mammalia,Male,c,0.057638661,0.007302271,0.043120449,0.071510552
Cynictis penicillata,Mammalia,Male,b0,-7.464300176,1.07687024,-9.735211604,-5.533427464
Cynictis penicillata,Mammalia,Male,b1,0.430045869,0.078529487,0.283786309,0.591516579
Helogale parvula,Mammalia,Female,a0,-0.818104752,0.303059773,-1.459975007,-0.25792182
Helogale parvula,Mammalia,Female,a1,13.18039003,2.850963195,8.062656768,19.24314662
Helogale parvula,Mammalia,Female,c,0.043257275,0.010511324,0.019109027,0.060729338
Helogale parvula,Mammalia,Female,b0,-5.338875753,0.80990858,-7.005508207,-3.889860231
Helogale parvula,Mammalia,Female,b1,0.293111848,0.060834852,0.184305159,0.418201163
Helogale parvula,Mammalia,Male,a0,-0.846792089,0.274194669,-1.415188625,-0.33530027
Helogale parvula,Mammalia,Male,a1,10.54255866,2.458643378,6.269798596,15.7952412
Helogale parvula,Mammalia,Male,c,0.048136664,0.006838208,0.033253685,0.060206142
Helogale parvula,Mammalia,Male,b0,-6.258637587,0.762961165,-7.924059735,-4.864709557
Helogale parvula,Mammalia,Male,b1,0.366834049,0.056839706,0.261666564,0.48854795
Eulemur macaco,Mammalia,Female,a0,0.09599208,0.268525991,-0.461421264,0.606307201
Eulemur macaco,Mammalia,Female,a1,13.86127933,2.822401316,8.918778916,19.83730913
Eulemur macaco,Mammalia,Female,c,0.010046789,0.007032911,0.000428319,0.026192156
Eulemur macaco,Mammalia,Female,b0,-4.187787236,0.358287416,-5.059422282,-3.677924665
Eulemur macaco,Mammalia,Female,b1,0.105243396,0.016101705,0.078551136,0.141854741
Eulemur macaco,Mammalia,Male,a0,0.527580479,0.22760416,0.060673587,0.987850618
Eulemur macaco,Mammalia,Male,a1,14.02270235,3.063381326,8.718577327,20.86860719
Eulemur macaco,Mammalia,Male,c,0.015637316,0.007744811,0.00119981,0.030472575
Eulemur macaco,Mammalia,Male,b0,-4.81596238,0.576429388,-6.113072026,-3.916843855
Eulemur macaco,Mammalia,Male,b1,0.117848393,0.023354264,0.079377556,0.168658112
Eulemur flavifrons,Mammalia,Female,a0,0.196970725,0.401810767,-0.613576161,0.956272349
Eulemur flavifrons,Mammalia,Female,a1,8.386272268,2.413363836,4.202288807,13.50226657
Eulemur flavifrons,Mammalia,Female,c,0.022478896,0.007314947,0.009020758,0.037564787
Eulemur flavifrons,Mammalia,Female,b0,-8.201815315,1.686911816,-11.88073466,-5.218144511
Eulemur flavifrons,Mammalia,Female,b1,0.263562773,0.070797129,0.13469592,0.41545682
Eulemur flavifrons,Mammalia,Male,a0,0.395648034,0.371414577,-0.374354698,1.071989167
Eulemur flavifrons,Mammalia,Male,a1,9.577419842,2.817738125,4.740747892,15.84476357
Eulemur flavifrons,Mammalia,Male,c,0.019348048,0.007916445,0.003651072,0.034286282
Eulemur flavifrons,Mammalia,Male,b0,-6.789078225,1.310880138,-9.637221271,-4.636166231
Eulemur flavifrons,Mammalia,Male,b1,0.217473096,0.058938889,0.117330144,0.344141811
Oryx leucoryx,Mammalia,Female,a0,0.4364723,0.099372026,0.236997656,0.629122449
Oryx leucoryx,Mammalia,Female,a1,16.59735783,1.54741539,13.72399842,19.70318318
Oryx leucoryx,Mammalia,Female,c,0.041393461,0.001753968,0.03806121,0.044869123
Oryx leucoryx,Mammalia,Female,b0,-11.48417071,0.731687424,-12.98767605,-10.18527699
Oryx leucoryx,Mammalia,Female,b1,0.623009463,0.043980332,0.543740424,0.712590444
Oryx leucoryx,Mammalia,Male,a0,0.812158685,0.093919088,0.630461018,0.991842295
Oryx leucoryx,Mammalia,Male,a1,20.74112197,1.885969392,17.29144743,24.61379502
Oryx leucoryx,Mammalia,Male,c,0.086975038,0.003139026,0.080841578,0.093101874
Oryx leucoryx,Mammalia,Male,b0,-8.087107318,0.648592012,-9.430088662,-6.913052718
Oryx leucoryx,Mammalia,Male,b1,0.434525994,0.041470845,0.357806384,0.517939714
Hapalemur alaotrensis,Mammalia,Female,a0,-1.691174642,0.714845343,-3.239235096,-0.443572509
Hapalemur alaotrensis,Mammalia,Female,a1,6.894464984,3.068013717,2.020962966,13.78010612
Hapalemur alaotrensis,Mammalia,Female,c,0.02971508,0.018651199,0.00152253,0.068844733
Hapalemur alaotrensis,Mammalia,Female,b0,-4.570941251,1.058496108,-7.257389529,-3.260337986
Hapalemur alaotrensis,Mammalia,Female,b1,0.184965936,0.062728359,0.09583548,0.341927852
Hapalemur alaotrensis,Mammalia,Male,a0,1.017986924,0.296374712,0.405290478,1.5686799
Hapalemur alaotrensis,Mammalia,Male,a1,17.16148516,3.295813496,10.93174151,24.00404533
Hapalemur alaotrensis,Mammalia,Male,c,0.04296943,0.018520069,0.004776585,0.074070406
Hapalemur alaotrensis,Mammalia,Male,b0,-5.934627561,1.940551405,-10.76653286,-3.480987725
Hapalemur alaotrensis,Mammalia,Male,b1,0.236064089,0.101954991,0.101304311,0.489675971
Lemur catta,Mammalia,Female,a0,0.544793042,0.086987034,0.369615769,0.714276779
Lemur catta,Mammalia,Female,a1,31.76273924,2.241376955,27.56932544,36.29434383
Lemur catta,Mammalia,Female,c,0.041182534,0.0012326,0.038708477,0.043555732
Lemur catta,Mammalia,Female,b0,-8.606834016,0.569502309,-9.843992287,-7.593677862
Lemur catta,Mammalia,Female,b1,0.26969364,0.023730326,0.227026359,0.320484748
Lemur catta,Mammalia,Male,a0,1.089877841,0.068003784,0.956037033,1.225758685
Lemur catta,Mammalia,Male,a1,36.49026864,2.027538619,32.73291578,40.69535043
Lemur catta,Mammalia,Male,c,0.040926097,0.001145004,0.038640314,0.043226639
Lemur catta,Mammalia,Male,b0,-8.893723005,0.663267322,-10.26709985,-7.703468983
Lemur catta,Mammalia,Male,b1,0.26841005,0.027552479,0.21817311,0.32478034
Melursus ursinus,Mammalia,Female,a0,1.595816566,0.244978407,1.101442714,2.044198569
Melursus ursinus,Mammalia,Female,a1,16.7665308,2.792040374,11.60043329,22.65855058
Melursus ursinus,Mammalia,Female,c,0.04019202,0.013519475,0.006961475,0.061052184
Melursus ursinus,Mammalia,Female,b0,-6.98431103,2.48280489,-12.75549293,-3.58702632
Melursus ursinus,Mammalia,Female,b1,0.184050101,0.095198745,0.05080322,0.40378614
Melursus ursinus,Mammalia,Male,a0,1.227583354,0.262323937,0.689906114,1.71927098
Melursus ursinus,Mammalia,Male,a1,15.67354742,2.939080454,10.45543593,21.94241351
Melursus ursinus,Mammalia,Male,c,0.024262743,0.015567731,0.001273565,0.057063562
Melursus ursinus,Mammalia,Male,b0,-4.428513581,1.108433639,-7.368802038,-3.273736829
Melursus ursinus,Mammalia,Male,b1,0.097876719,0.04096187,0.04880427,0.205983187
Tremarctos ornatus,Mammalia,Female,a0,0.146413285,0.345487351,-0.572606336,0.78605494
Tremarctos ornatus,Mammalia,Female,a1,10.3786026,2.464787356,6.152253464,15.74335096
Tremarctos ornatus,Mammalia,Female,c,0.009358932,0.00276919,0.004321055,0.015225
Tremarctos ornatus,Mammalia,Female,b0,-10.19055991,1.275294276,-12.87250678,-7.875033288
Tremarctos ornatus,Mammalia,Female,b1,0.310547881,0.04675514,0.223084311,0.405692729
Tremarctos ornatus,Mammalia,Male,a0,1.005094391,0.250938351,0.498996779,1.480750862
Tremarctos ornatus,Mammalia,Male,a1,14.09809439,2.92549543,9.040942551,20.46997248
Tremarctos ornatus,Mammalia,Male,c,0.013209428,0.002842461,0.007964186,0.019143954
Tremarctos ornatus,Mammalia,Male,b0,-9.72915989,1.002090192,-11.80715131,-7.875439474
Tremarctos ornatus,Mammalia,Male,b1,0.298368724,0.037660156,0.227746763,0.374674704
Ursus americanus,Mammalia,Female,a0,-1.398477318,0.222584269,-1.834914135,-0.971265634
Ursus americanus,Mammalia,Female,a1,1.543509845,0.297310309,1.034840114,2.192549887
Ursus americanus,Mammalia,Female,c,0.002351908,0.001759172,9.43738967815918e-05,0.006605055
Ursus americanus,Mammalia,Female,b0,-6.422150025,0.352973492,-7.180461826,-5.797878432
Ursus americanus,Mammalia,Female,b1,0.175392291,0.0149945,0.148200303,0.20668032
Ursus americanus,Mammalia,Male,a0,-1.373147992,0.179895179,-1.726744603,-1.020589925
Ursus americanus,Mammalia,Male,a1,1.102212813,0.17698592,0.791838761,1.473745091
Ursus americanus,Mammalia,Male,c,0.003271362,0.002402491,0.000148034,0.009063166
Ursus americanus,Mammalia,Male,b0,-6.182031104,0.366480828,-6.977265609,-5.555611329
Ursus americanus,Mammalia,Male,b1,0.17693049,0.015787802,0.148299333,0.209836632
Ursus arctos,Mammalia,Female,a0,-1.144332928,0.095724356,-1.333284982,-0.959301239
Ursus arctos,Mammalia,Female,a1,0.799511072,0.086658609,0.639778451,0.976458798
Ursus arctos,Mammalia,Female,c,0.012749328,0.001935891,0.008884008,0.016603822
Ursus arctos,Mammalia,Female,b0,-9.050494578,0.659925965,-10.38560873,-7.805759821
Ursus arctos,Mammalia,Female,b1,0.219655561,0.021439282,0.178249426,0.262965448
Ursus arctos,Mammalia,Male,a0,-1.097764718,0.073279561,-1.237787849,-0.951964073
Ursus arctos,Mammalia,Male,a1,0.556456223,0.044445586,0.474866248,0.649954444
Ursus arctos,Mammalia,Male,c,0.00406502,0.002957884,0.000182987,0.010918261
Ursus arctos,Mammalia,Male,b0,-6.056608131,0.41290652,-7.005208882,-5.394967945
Ursus arctos,Mammalia,Male,b1,0.133349528,0.014707816,0.107646159,0.16559488
Potos flavus,Mammalia,Female,a0,-0.761355939,0.361494455,-1.492706597,-0.080156808
Potos flavus,Mammalia,Female,a1,7.560929953,2.124731393,4.075185315,12.29078157
Potos flavus,Mammalia,Female,c,0.009178162,0.003692791,0.001620832,0.016355809
Potos flavus,Mammalia,Female,b0,-6.257355517,0.713139006,-7.8148329,-5.04568562
Potos flavus,Mammalia,Female,b1,0.142856514,0.026718521,0.09571232,0.200387306
Potos flavus,Mammalia,Male,a0,0.269113062,0.289857773,-0.334561963,0.815553365
Potos flavus,Mammalia,Male,a1,9.787757927,2.6098158,5.389265694,15.53207975
Potos flavus,Mammalia,Male,c,0.02535876,0.003836007,0.017707657,0.032653712
Potos flavus,Mammalia,Male,b0,-9.376225639,2.10283562,-14.43508914,-6.04221143
Potos flavus,Mammalia,Male,b1,0.225982184,0.06870235,0.112788839,0.386654616
Capra nubiana,Mammalia,Female,a0,1.056079961,0.08442354,0.892230602,1.227795465
Capra nubiana,Mammalia,Female,a1,15.08048619,1.41722671,12.5150011,18.10938958
Capra nubiana,Mammalia,Female,c,0.112535674,0.004195053,0.104262798,0.120627559
Capra nubiana,Mammalia,Female,b0,-11.56261524,1.506031698,-14.69585397,-9.099210489
Capra nubiana,Mammalia,Female,b1,0.724831049,0.102593415,0.551980999,0.939394206
Capra nubiana,Mammalia,Male,a0,1.670248395,0.082233214,1.504579083,1.830959351
Capra nubiana,Mammalia,Male,a1,27.55371942,2.388592909,22.9475379,32.40853128
Capra nubiana,Mammalia,Male,c,0.166683724,0.005323357,0.156236439,0.176949075
Capra nubiana,Mammalia,Male,b0,-11.45790718,1.688487931,-15.27044197,-8.702865015
Capra nubiana,Mammalia,Male,b1,0.714101907,0.116068655,0.517270106,0.969588203
Sapajus apella,Mammalia,Female,a0,-0.531122217,0.264805658,-1.069759524,-0.03114469
Sapajus apella,Mammalia,Female,a1,17.45086685,3.332658945,11.27508255,24.14543821
Sapajus apella,Mammalia,Female,c,0.027688234,0.003879024,0.017886302,0.032672538
Sapajus apella,Mammalia,Female,b0,-8.794616755,2.380404159,-14.3209516,-5.013218964
Sapajus apella,Mammalia,Female,b1,0.163577307,0.065461128,0.056017679,0.313400659
Sapajus apella,Mammalia,Male,a0,-0.42501117,0.207449196,-0.84018794,-0.041425511
Sapajus apella,Mammalia,Male,a1,14.47922313,2.529282556,9.883450821,19.80778406
Sapajus apella,Mammalia,Male,c,0.023525712,0.004494082,0.012366757,0.03016135
Sapajus apella,Mammalia,Male,b0,-6.327988927,1.003468614,-8.529545413,-4.537451854
Sapajus apella,Mammalia,Male,b1,0.110364349,0.030281801,0.056965703,0.176185372
Tragelaphus imberbis,Mammalia,Female,a0,0.758645822,0.12151891,0.516722099,0.99110317
Tragelaphus imberbis,Mammalia,Female,a1,6.866960408,0.897312038,5.233812709,8.753807187
Tragelaphus imberbis,Mammalia,Female,c,0.092338413,0.007631014,0.077066967,0.107746593
Tragelaphus imberbis,Mammalia,Female,b0,-9.211574978,1.379583789,-12.17276492,-6.830023781
Tragelaphus imberbis,Mammalia,Female,b1,0.580012435,0.097153823,0.409108532,0.786211158
Tragelaphus imberbis,Mammalia,Male,a0,1.169704169,0.110707877,0.941462932,1.381923478
Tragelaphus imberbis,Mammalia,Male,a1,8.764772453,1.003153282,6.930417416,10.81034398
Tragelaphus imberbis,Mammalia,Male,c,0.149934389,0.011079865,0.127742779,0.171045239
Tragelaphus imberbis,Mammalia,Male,b0,-8.34436869,1.625004431,-12.03061505,-5.663521162
Tragelaphus imberbis,Mammalia,Male,b1,0.537956042,0.120038978,0.33054197,0.798810956
Tragelaphus scriptus,Mammalia,Female,a0,1.066724357,0.272633376,0.521050024,1.575111049
Tragelaphus scriptus,Mammalia,Female,a1,12.25027692,3.095387454,6.871556166,18.9489886
Tragelaphus scriptus,Mammalia,Female,c,0.105130704,0.031026412,0.034175749,0.157873161
Tragelaphus scriptus,Mammalia,Female,b0,-5.529674622,1.710474794,-9.59652284,-2.952823642
Tragelaphus scriptus,Mammalia,Female,b1,0.375892775,0.139390507,0.150866722,0.700015011
Tragelaphus scriptus,Mammalia,Male,a0,0.950631208,0.262600308,0.431725204,1.462677488
Tragelaphus scriptus,Mammalia,Male,a1,9.436619989,2.972909371,4.741096458,16.04101989
Tragelaphus scriptus,Mammalia,Male,c,0.166251923,0.03989869,0.064337969,0.232043935
Tragelaphus scriptus,Mammalia,Male,b0,-6.908964339,2.805887962,-13.3767715,-2.645732788
Tragelaphus scriptus,Mammalia,Male,b1,0.434725709,0.237039706,0.053973582,0.971964884
Panthera tigris,Mammalia,Female,a0,1.70824811,0.067940475,1.57196385,1.840813303
Panthera tigris,Mammalia,Female,a1,35.87880193,2.048307541,31.92989651,40.02858123
Panthera tigris,Mammalia,Female,c,0.028321689,0.00132623,0.025750569,0.030887941
Panthera tigris,Mammalia,Female,b0,-7.966077281,0.259500096,-8.495614421,-7.46974072
Panthera tigris,Mammalia,Female,b1,0.359527054,0.01436113,0.331336767,0.389100609
Panthera tigris,Mammalia,Male,a0,1.665330168,0.069044114,1.530845447,1.802587417
Panthera tigris,Mammalia,Male,a1,30.46292309,1.923563194,26.87976554,34.39509671
Panthera tigris,Mammalia,Male,c,0.025871428,0.001295052,0.02344306,0.028501109
Panthera tigris,Mammalia,Male,b0,-8.541641887,0.239551827,-9.025398184,-8.090098283
Panthera tigris,Mammalia,Male,b1,0.408846707,0.013546448,0.382984405,0.435848913
Odocoileus virginianus,Mammalia,Female,a0,0.751352547,0.139427077,0.478233681,1.020151512
Odocoileus virginianus,Mammalia,Female,a1,11.97208452,2.04458305,8.282209884,16.34783282
Odocoileus virginianus,Mammalia,Female,c,0.087670379,0.003865582,0.079864477,0.095186298
Odocoileus virginianus,Mammalia,Female,b0,-8.74542169,0.95614517,-10.90768915,-7.142224745
Odocoileus virginianus,Mammalia,Female,b1,0.368554274,0.049264948,0.284767121,0.477340277
Odocoileus virginianus,Mammalia,Male,a0,0.700391276,0.11973463,0.472687429,0.939003631
Odocoileus virginianus,Mammalia,Male,a1,9.47416437,1.446250157,6.91865803,12.62709398
Odocoileus virginianus,Mammalia,Male,c,0.11978604,0.005367359,0.109237144,0.130443235
Odocoileus virginianus,Mammalia,Male,b0,-9.915811957,2.232568159,-15.25996124,-6.369630048
Odocoileus virginianus,Mammalia,Male,b1,0.369888271,0.118819514,0.153102809,0.635768039
Crocuta crocuta,Mammalia,Female,a0,-2.450589235,0.659889459,-3.831537267,-1.290088917
Crocuta crocuta,Mammalia,Female,a1,5.054619018,2.478307,0.789877379,10.65974389
Crocuta crocuta,Mammalia,Female,c,0.016965773,0.004350996,0.008230719,0.025350817
Crocuta crocuta,Mammalia,Female,b0,-7.952794742,1.284233718,-10.96612951,-5.864274653
Crocuta crocuta,Mammalia,Female,b1,0.270630386,0.057435884,0.172800296,0.400004446
Crocuta crocuta,Mammalia,Male,a0,-0.721059632,0.369262046,-1.477152878,-0.039657748
Crocuta crocuta,Mammalia,Male,a1,7.95019372,2.259366929,4.145344006,13.0499782
Crocuta crocuta,Mammalia,Male,c,0.016077262,0.003630495,0.008818354,0.023249055
Crocuta crocuta,Mammalia,Male,b0,-8.7615971,1.398460667,-11.93219043,-6.429459007
Crocuta crocuta,Mammalia,Male,b1,0.294483698,0.060011716,0.189778384,0.425764816
Hyaena hyaena,Mammalia,Female,a0,0.275016954,0.290957517,-0.342735428,0.805532345
Hyaena hyaena,Mammalia,Female,a1,14.3193422,3.361487978,8.027503159,21.15592086
Hyaena hyaena,Mammalia,Female,c,0.015866893,0.005649535,0.004661662,0.027031135
Hyaena hyaena,Mammalia,Female,b0,-5.832180695,0.642270593,-7.206649497,-4.66555131
Hyaena hyaena,Mammalia,Female,b1,0.235577217,0.03773704,0.164960204,0.313144748
Hyaena hyaena,Mammalia,Male,a0,0.758649516,0.264608896,0.224367266,1.250079029
Hyaena hyaena,Mammalia,Male,a1,13.70201111,3.074250367,8.170159226,20.00719165
Hyaena hyaena,Mammalia,Male,c,0.008399849,0.005922934,0.00036851,0.021961543
Hyaena hyaena,Mammalia,Male,b0,-4.905249239,0.472209064,-6.025626752,-4.185290676
Hyaena hyaena,Mammalia,Male,b1,0.174959381,0.028006627,0.12748148,0.239457431
Canis lupus,Mammalia,Female,a0,0.151780002,0.129737354,-0.122186045,0.387689235
Canis lupus,Mammalia,Female,a1,9.631434662,1.572327463,6.543815031,12.62917061
Canis lupus,Mammalia,Female,c,0.069310582,0.002747673,0.063662149,0.074459008
Canis lupus,Mammalia,Female,b0,-7.151081126,0.299720117,-7.747283854,-6.580564234
Canis lupus,Mammalia,Female,b1,0.39465853,0.02027499,0.355640257,0.43429901
Canis lupus,Mammalia,Male,a0,-0.104687618,0.090550991,-0.284129457,0.075368313
Canis lupus,Mammalia,Male,a1,6.000518273,0.67357794,4.768034411,7.420186858
Canis lupus,Mammalia,Male,c,0.050978297,0.002493741,0.046023957,0.055769517
Canis lupus,Mammalia,Male,b0,-6.849755788,0.246023966,-7.34396164,-6.378751418
Canis lupus,Mammalia,Male,b1,0.396770932,0.017276767,0.363505472,0.431783698
Mungos mungo,Mammalia,Female,a0,-0.333141974,0.213089811,-0.740350153,0.100528169
Mungos mungo,Mammalia,Female,a1,8.080328691,2.32117859,4.613133345,13.74258551
Mungos mungo,Mammalia,Female,c,0.043038782,0.010846136,0.016324974,0.060435043
