"species","Order","Class","exDiff","FemaleBM","MaleBM","Testes","FemaleAFB","MaleAFB","Monogamy","AnnProd","FemaleCare","DichroAves","weights"
"Ciconia nigra","Ciconiiformes","Aves",-0.194961427525341,2884.91197729617,3066.70453468927,NA,4.00766598220397,4.90677618069815,1,NA,1,0,0.657073639850118
"Cinnyricinclus leucogaster","Passeriformes","Aves",0.0527556630612619,41.0852469918279,44.0516969324707,NA,2.94045174537988,3.70266940451745,1,NA,1,1.4,0.591650714103208
"Cissa chinensis","Passeriformes","Aves",-0.179510041557393,107.971606113771,111.562896461318,NA,NA,NA,NA,NA,NA,0,0.427061599103747
"Clangula hyemalis","Anseriformes","Aves",0.107147018766089,526.340042543106,622.604451865892,6.45,1.994436687,1.998631075,1,322.5,1,0.8,0.479433403649556
"Cochlearius cochlearius","Pelecaniformes","Aves",-0.102399061882413,587.284757472913,669.688202706184,1.210598134,1.87542778918549,1.90636550308008,1,NA,NA,0,0.606012034543816
"Coereba flaveola","Passeriformes","Aves",-0.0695755129633752,9.70625,10.13125,0.36,NA,NA,NA,8.64,NA,0,0.377336456997358
"Colinus virginianus","Galliformes","Aves",-0.311751371491703,201.03353301225,206.728521031794,0.78,0.572210814510609,0.572210814510609,0,173.55,0,0.6,0.793636428922705
"Colius striatus","Coliiformes","Aves",-0.137100933364486,51.6015295582759,51.9548615222163,0.14,0.641752224503765,0.626967830253251,1,NA,0,0,0.748490103267469
"Columba arquatrix","Columbiformes","Aves",-0.00710315997866925,384.759060745727,419.073994193383,NA,1.13949349760438,NA,1,NA,1,0,0.481656662626702
"Columba guinea","Columbiformes","Aves",-0.087196328571447,321.592661349019,315.93682425808,NA,0.986173853524983,1.00917180013689,1,94.2,1,0,0.622419289932985
"Columba leucomela","Columbiformes","Aves",-0.103898867274805,455.453397770366,480.138640127749,NA,0.763039014373717,NA,NA,NA,0,0.8,0.559491426057658
"Columba livia","Columbiformes","Aves",-0.103575956480788,395.96864273224,402.891982556929,1.93,0.726899383983573,0.761122518822724,1,142.4,0,0,0.774964436426753
"Columba oenas","Columbiformes","Aves",-0.128907305477829,280,303,NA,0.997218344,0.999315537,1,126.8365,1,0,0.500035842476572
"Columbina cruziana","Columbiformes","Aves",-0.171064515927791,49.967040854429,46.6773549560684,NA,NA,NA,NA,NA,NA,0.4,0.584340959349984
"Columbina talpacoti","Columbiformes","Aves",-0.169153114544816,46.2,46.3,0.11,NA,NA,NA,18,NA,1,0.421244285258663
