"species","Class","Order","exDiff","FemaleBM","MaleBM","FemaleAFB","MaleAFB","MS","ReprEff","CareMammals","CareAves","Dichro","weights"
"Tauraco fischeri","Aves","Musophagiformes",-0.276588672576019,250.472721979565,246.096330599182,1.87898699520876,1.97399041752224,NA,NA,NA,0,0,0.561016905569879
"Anodorhynchus hyacinthinus","Aves","Psittaciformes",-0.0411071134261373,1333.93966296473,1375.76307107132,6.31211498973306,6.31211498973306,NA,NA,NA,NA,0,0.698558771515585
"Turnix melanogaster","Aves","Charadriiformes",-0.0377033338669295,129.465354480494,100.768665377468,0.551129363449692,0.763586584531143,"1",NA,NA,1,-0.6,0.555462226813389
"Rollulus rouloul","Aves","Galliformes",-0.0705273272539203,252.515259480043,263.527301722859,0.724709103353867,0.774537987679672,NA,NA,NA,-2,0,0.841337764237399
"Branta hutchinsii","Aves","Anseriformes",-0.0823584534853573,1682.14019014776,1978.14819773906,2.95386721423682,2.97878165639973,"1",NA,NA,-2,0,0.658099717198978
"Pavo cristatus","Aves","Galliformes",-0.0766944652997505,3375.38954533683,4485.48738689498,1.17563312799452,1.07049965776865,"0",517.5,NA,-2,2,0.816406838892511
"Lathamus discolor","Aves","Psittaciformes",-0.0887175257659713,68.4988310952661,68.4187340613396,0.911156741957563,0.900479123887748,"1",NA,NA,-1,0,0.614836539009798
"Stigmatopelia senegalensis","Aves","Columbiformes",0.0513173451735291,149.412463083278,153.469781899388,0.988364134154689,1.09349760438056,NA,NA,NA,0,0,0.522005163893316
"Pionus menstruus","Aves","Psittaciformes",-0.152980502552428,256.7903669042,241.476164734797,NA,NA,NA,NA,NA,NA,0,0.508875903003307
"Polytelis alexandrae","Aves","Psittaciformes",-0.222638935864236,108.415505354945,118.997307807688,0.965366187542779,0.818891170431211,"1",NA,NA,-2,0.8,0.598331179923054
"Cyanocompsa brissonii","Aves","Passeriformes",-0.157809665874203,20.9,NA,NA,NA,NA,NA,NA,NA,1.2,0.487358288256974
"Creatophora cinerea","Aves","Passeriformes",-0.167286857556018,65.5973218517434,75.8140041171718,NA,NA,"1",NA,NA,NA,1.2,0.57393031548937
